Disease,Region,Latitude,Longitude,Altitude,Animal_Type,Animal_Ownership,Immunization_Status,Identification_Method,Community_HDA_Identified,Animal_Image
Rabies,Oromia,3.5375076,39.050666,1095.2,Goat,Yes,Rabies vaccinated,Health Facility,Yes,http://api.ona.io/api/v1/files/26446176?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1651050080423.jpg
Rabies,Somali,4.77173,41.0846418,708.9248514,Sheep,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/20579625?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1622715735032.jpg
Rabies,Somali,4.7716531,41.0846497,711.1123259,Sheep,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/20579620?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1622778750891.jpg
Rabies,Oromia,3.5500923,39.0473165,1181.4,Goat,No,Not vaccinated,Community gathering,No,http://api.ona.io/api/v1/files/20281717?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1620725568263.jpg
Rabies,SNNP,6.2519771,35.5256386,1436.679751,Dog,Yes,Not vaccinated,Health Facility,No,
Rabies,SNNP,6.2519742,35.5256362,1437.631946,Dog,Yes,Not vaccinated,Health Facility,No,
Rabies,Benshangul Gumuz,10.06249833,34.55253833,1585.9,Donkey/Horse/Mule,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Oromia,3.6748825,38.559499,1305.812704,Donkey/Horse/Mule,Yes,Not vaccinated,Other specify,Yes,
Rabies,SNNP,5.777325,36.56523833,1339.9,Dog,Yes,Not vaccinated,House to house visit,No,
Rabies,Benshangul Gumuz,10.2457788,34.48555402,1230.0,Goat,Yes,Not vaccinated,Health Facility,No,
Rabies,SNNP,6.1783235,35.5834675,2389.539346,Dog,Yes,Not vaccinated,Community gathering,Yes,
Rabies,SNNP,6.1783335,35.5834853,2385.47733,Dog,Yes,Not vaccinated,House to house visit,Yes,
Rabies,SNNP,6.1660186,35.5883847,2379.555534,Sheep,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Gambella,8.2369926,34.583282,440.962895,Sheep,Yes,Not vaccinated,Other specify,No,
Rabies,Benshangul Gumuz,9.95424187,34.65820741,1375.0,Cow,Yes,Not vaccinated,Other specify,No,http://api.ona.io/api/v1/files/18801903?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1611220067009.jpg
Rabies,Gambella,7.2883675,35.3122753,1311.5,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Gambella,7.2784852,35.3213927,1258.6,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Gambella,7.2105299,35.2881041,1207.6,Sheep,Yes,Not vaccinated,Community gathering,No,
Rabies,Gambella,7.2102784,35.2853867,1204.7,Ox,Yes,Not vaccinated,Community gathering,Yes,
Rabies,Oromia,3.738793333,38.58019,1401.3,Dog,No,Not vaccinated,Other specify,No,
